127.0.0.1 - - [16/May/2022:22:41:25 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /BootstrapApp/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /BootstrapApp/css/bootstrap-theme.min.css HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /BootstrapApp/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /BootstrapApp/images/apple-touch-icon.png HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [16/May/2022:22:41:26 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [16/May/2022:22:44:43 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [16/May/2022:22:44:43 +0900] "GET /BootstrapApp/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:44:43 +0900] "GET /BootstrapApp/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:44:43 +0900] "GET /BootstrapApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:44:43 +0900] "GET /BootstrapApp/images/apple-touch-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:45:05 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [16/May/2022:22:45:05 +0900] "GET /BootstrapApp/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:45:05 +0900] "GET /BootstrapApp/css/bootstrap-theme.min.css HTTP/1.1" 304 -
